,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
5,52,XRP,XRP,xrp,780,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'binance-chain', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,48343101197.0,99989535142.0,,6,,,,2022-07-30T20:54:00.000Z,0.39426776101010386,1708775096.4973776,-2.9728,-0.45135521,6.97664388,10.96742469,23.98831792,-5.67271645,-34.26450543,19060126269.226063,1.7258,39426776101.01,,2022-07-30T20:54:00.000Z,,,,,,2022-07-30 20:56:51.790788
6,2010,Cardano,ADA,cardano,526,2017-10-01T00:00:00.000Z,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'bnb-chain']",45000000000.0,33934048405.593,34277702081.605,,7,,,,2022-07-30T20:53:00.000Z,0.5326829056621283,1275203524.6896012,-20.677,0.10192284,0.9616618,7.51149376,21.18211735,-11.36423703,-31.10250634,18076087505.57059,1.635,23970730754.8,,2022-07-30T20:53:00.000Z,,,,,,2022-07-30 20:56:51.790788
7,4687,Binance USD,BUSD,binance-usd,4175,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,17858623534.199257,17858623534.199257,,8,,,,2022-07-30T20:53:00.000Z,1.0001532987778075,6486433707.993544,-27.6045,0.11097417,-0.0473096,-0.09172412,0.04480266,0.08991374,0.09247183,17861361239.360374,1.6146,17861361239.36,,2022-07-30T20:53:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2022-07-30 20:56:51.790788
8,5426,Solana,SOL,solana,352,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,346026765.75456744,511616946.142289,,9,,,,2022-07-30T20:53:00.000Z,45.212876322745984,1993478227.2562218,-5.4355,0.16147398,7.05038577,14.75243726,42.95332816,-0.86516656,-48.61497654,15644865364.421053,1.4151,23131673710.55,,2022-07-30T20:53:00.000Z,,,,,,2022-07-30 20:56:51.790788
9,74,Dogecoin,DOGE,dogecoin,514,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,,10,,,,2022-07-30T20:53:00.000Z,0.07045496846589308,765135365.8598588,7.9026,-0.51473212,1.20755539,4.88612479,11.21475245,-18.21128251,-45.92052019,9347314515.09497,0.8463,9347314515.09,,2022-07-30T20:53:00.000Z,,,,,,2022-07-30 20:56:51.790788
10,6636,Polkadot,DOT,polkadot-new,369,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",,987579314.957085,1103303471.382273,,11,904869778.0,7612095330.143767,,2022-07-30T20:53:00.000Z,8.412365530616459,813765386.5812243,-2.554,-0.60913094,1.94754718,15.94652391,25.5109794,-18.50187537,-44.01860227,8307878187.894797,0.7522,9281392092.47,,2022-07-30T20:53:00.000Z,,,,,,2022-07-30 20:56:51.790788
11,3890,Polygon,MATIC,polygon,432,2019-04-28T00:00:00.000Z,"['platform', 'enterprise-solutions', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",10000000000.0,8034803942.62,10000000000.0,,12,,,,2022-07-30T20:53:00.000Z,0.942631563159463,930770813.0589325,-40.7196,-0.84028603,-0.30824707,12.63685565,113.13954275,42.80888165,-11.86985209,7573859800.111707,0.6858,9426315631.59,,2022-07-30T20:53:00.000Z,,,,,,2022-07-30 20:56:51.790788
12,4943,Dai,DAI,multi-collateral-dai,1050,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,7469392220.548443,7469392220.548443,,13,,,,2022-07-30T20:53:00.000Z,0.9996009743716725,442474497.2869348,-37.5816,0.05801989,-0.06674448,-0.02278562,-0.01737479,-0.02897107,0.00273132,7466411741.624414,0.6749,7466411741.62,,2022-07-30T20:53:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2022-07-30 20:56:51.790788
13,5805,Avalanche,AVAX,avalanche,290,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",720000000.0,284322836.16267467,404229626.49901325,,14,,,,2022-07-30T20:53:00.000Z,24.69491782116114,766815499.8500698,-16.0945,-0.71794436,0.70961542,6.47177369,53.91320767,-6.09736266,-57.37496978,7021329073.716714,0.6357,17780340831.24,,2022-07-30T20:53:00.000Z,,,,,,2022-07-30 20:56:51.790788
14,5994,Shiba Inu,SHIB,shiba-inu,379,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,549063278876301.94,589735030408322.8,,15,,,,2022-07-30T20:53:00.000Z,1.2104142439020002e-05,661100865.8444816,10.5045,-0.52815651,2.60986366,5.31905704,21.84921989,3.31219422,-42.42621408,6645940135.554121,0.6017,7138236809.34,,2022-07-30T20:53:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2022-07-30 20:56:51.790788
0,1,Bitcoin,BTC,bitcoin,9648,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19107862.0,19107862.0,,1,,,,2022-07-30T20:56:00.000Z,23971.73110068876,28325847269.938404,-22.0482,-0.082797,0.21421736,7.35347961,27.91998018,-24.48119703,-36.93633803,458048529773.069,41.4786,503406353114.46,,2022-07-30T20:56:00.000Z,,,,,,2022-07-30 20:58:11.678629
1,1027,Ethereum,ETH,ethereum,5869,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'bnb-chain']",,121762185.999,121762185.999,,2,,,,2022-07-30T20:55:00.000Z,1701.8306266060856,16127574003.391155,-30.4733,0.46599161,-1.50642893,11.61803624,68.32731965,-12.54819853,-38.66862812,207218617295.60492,18.7616,207218617295.6,,2022-07-30T20:55:00.000Z,,,,,,2022-07-30 20:58:11.678629
